threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,estimated_cost
0.05,0.5813953488372093,0.7857142857142857,0.6682867557715675,7211,198,75,275,474000
0.1,0.6343283582089553,0.7285714285714285,0.6781914893617021,7262,147,95,255,548500
0.15,0.6666666666666666,0.6571428571428571,0.6618705035971223,7294,115,120,230,657500
0.2,0.6987179487179487,0.6228571428571429,0.6586102719033232,7315,94,132,218,707000
0.25,0.737410071942446,0.5857142857142857,0.6528662420382165,7336,73,145,205,761500
0.3,0.788,0.5628571428571428,0.6566666666666666,7356,53,153,197,791500
0.35,0.8133333333333334,0.5228571428571429,0.6365217391304347,7367,42,167,183,856000
0.4,0.8260869565217391,0.48857142857142855,0.6140035906642729,7373,36,179,171,913000
0.45,0.859375,0.4714285714285714,0.6088560885608856,7382,27,185,165,938500
0.5,0.9017341040462428,0.44571428571428573,0.5965583173996176,7392,17,194,156,978500
0.55,0.9215686274509803,0.40285714285714286,0.5606361829025845,7397,12,209,141,1051000
0.6,0.9565217391304348,0.37714285714285717,0.5409836065573771,7403,6,218,132,1093000
0.65,0.9767441860465116,0.36,0.5260960334029228,7406,3,224,126,1121500
0.7,0.9908256880733946,0.30857142857142855,0.47058823529411764,7408,1,242,108,1210500
0.75,1.0,0.28285714285714286,0.44097995545657015,7409,0,251,99,1255000
0.8,1.0,0.23142857142857143,0.37587006960556846,7409,0,269,81,1345000
0.85,1.0,0.16857142857142857,0.2885085574572127,7409,0,291,59,1455000
0.9,1.0,0.10857142857142857,0.1958762886597938,7409,0,312,38,1560000
0.95,1.0,0.1,0.18181818181818182,7409,0,315,35,1575000
