threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,estimated_cost
0.1,0.2708333333333333,0.78,0.4020618556701031,6674,735,77,273,752500
0.15,0.31025299600532624,0.6657142857142857,0.4232515894641235,6891,518,117,233,844000
0.2,0.339171974522293,0.6085714285714285,0.43558282208588955,6994,415,137,213,892500
0.25,0.35185185185185186,0.5428571428571428,0.42696629213483145,7059,350,160,190,975000
0.3,0.36082474226804123,0.5,0.41916167664670656,7099,310,175,175,1030000
0.35,0.38317757009345793,0.4685714285714286,0.42159383033419023,7145,264,186,164,1062000
0.4,0.391304347826087,0.43714285714285717,0.41295546558704455,7171,238,197,153,1104000
0.45,0.40502793296089384,0.4142857142857143,0.4096045197740113,7196,213,205,145,1131500
0.5,0.4212121212121212,0.39714285714285713,0.4088235294117647,7218,191,211,139,1150500
0.55,0.43278688524590164,0.37714285714285717,0.4030534351145038,7236,173,218,132,1176500
0.6,0.44404332129963897,0.3514285714285714,0.3923444976076555,7255,154,227,123,1212000
0.65,0.468503937007874,0.34,0.39403973509933776,7274,135,231,119,1222500
0.7,0.48717948717948717,0.32571428571428573,0.3904109589041096,7289,120,236,114,1240000
0.75,0.4818181818181818,0.3028571428571429,0.3719298245614035,7295,114,244,106,1277000
0.8,0.5,0.27714285714285714,0.35661764705882354,7312,97,253,97,1313500
0.85,0.5321637426900585,0.26,0.3493282149712092,7329,80,259,91,1335000
0.9,0.6204379562043796,0.24285714285714285,0.3490759753593429,7357,52,265,85,1351000
